INFO  - 2014-09-22 18:06:13.809; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-09-22 18:06:13.953; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data
INFO  - 2014-09-22 18:06:13.990; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index/
WARN  - 2014-09-22 18:06:13.994; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2014-09-22 18:06:14.050; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index
INFO  - 2014-09-22 18:06:14.355; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-22 18:06:14.359; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-22 18:06:14.382; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-09-22 18:06:14.383; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-09-22 18:06:14.385; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-09-22 18:06:14.399; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-09-22 18:06:14.400; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-09-22 18:06:14.763; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
