id,make,model,displ,cyl,trans,drive,fuel,salesArea,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
454,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,FFMXV01.5VZ1,midsize car,9,24,36,28,7,Yes,316
455,FORD,Fusion,1.5,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,FFMXV01.5VZ1,midsize car,9,25,37,29,7,Yes,303
456,FORD,Fusion,2,4,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV02.0VEM,midsize car,5,22,31,25,6,No,354
457,FORD,Fusion,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV02.0VEM,midsize car,6,22,31,25,6,No,354
458,FORD,Fusion,2,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV02.0VEM,midsize car,5,22,33,26,6,No,338
459,FORD,Fusion,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV02.0VEM,midsize car,6,22,33,26,6,No,338
460,FORD,Fusion,2.5,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV02.5VEX,midsize car,5,22,34,26,6,No,338
461,FORD,Fusion,2.5,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV02.5VEX,midsize car,6,22,34,26,6,No,338
462,FORD,Taurus,2,4,SemiAuto-6,2WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV02.0VE7,large car,5,22,32,26,6,No,342
463,FORD,Taurus,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV02.0VE7,large car,6,22,32,26,6,No,342
464,FORD,Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,FA,B5,Federal Tier 2 Bin 5,FFMXV03.5VEP,large car,5,17,25,20,5,No,449
465,FORD,Taurus,3.5,6,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,FFMXV03.5VEP,large car,6,17,25,20,5,No,449
